frame,time_s,type,stable_id,class,detail
415,13.83,id_recovered,127,car,"raw 566 -> 569, mất 1 frame"
419,13.97,id_recovered,69,car,"raw 439 -> 571, mất 48 frame"
420,14.0,id_recovered,121,moto,"raw 567 -> 572, mất 9 frame"
421,14.03,id_recovered,119,car,"raw 523 -> 575, mất 16 frame"
421,14.03,small_object,130,car,"box 29x21px, conf 0.45"
424,14.13,id_recovered,61,car,"raw 503 -> 580, mất 50 frame"
425,14.17,id_recovered,121,moto,"raw 572 -> 581, mất 2 frame"
427,14.23,id_recovered,101,truck,"raw 421 -> 583, mất 48 frame"
432,14.4,small_object,133,moto,"box 17x37px, conf 0.48"
433,14.43,id_recovered,118,car,"raw 515 -> 586, mất 13 frame"
433,14.43,id_recovered,89,moto,"raw 545 -> 587, mất 46 frame"
435,14.5,id_recovered,69,car,"raw 571 -> 590, mất 2 frame"
436,14.53,id_recovered,134,car,"raw 588 -> 591, mất 1 frame"
436,14.53,id_recovered,121,moto,"raw 581 -> 592, mất 10 frame"
436,14.53,id_recovered,133,moto,"raw 585 -> 593, mất 1 frame"
438,14.6,id_recovered,36,car,"raw 565 -> 597, mất 15 frame"
438,14.6,occlusion,36&118,,IoU 0.49
440,14.67,small_object,93,car,"box 36x28px, conf 0.75"
440,14.67,id_recovered,38,car,"raw 398 -> 601, mất 19 frame"
440,14.67,id_recovered,117,moto,"raw 543 -> 602, mất 39 frame"
441,14.7,id_recovered,133,moto,"raw 593 -> 604, mất 1 frame"
442,14.73,id_recovered,95,car,"raw 464 -> 606, mất 3 frame"
442,14.73,id_recovered,19,car,"raw 229 -> 607, mất 15 frame"
443,14.77,small_object,137,car,"box 26x37px, conf 0.58"
443,14.77,id_recovered,36,car,"raw 597 -> 608, mất 1 frame"
443,14.77,id_recovered,50,bus,"raw 68 -> 609, mất 20 frame"
444,14.8,small_object,89,moto,"box 27x38px, conf 0.34"
448,14.93,id_recovered,109,car,"raw 368 -> 612, mất 10 frame"
448,14.93,occlusion,45&109,,IoU 0.31
449,14.97,small_object,72,car,"box 34x30px, conf 0.60"
449,14.97,id_recovered,133,moto,"raw 604 -> 593, mất 0 frame"
451,15.03,id_recovered,27,car,"raw 27 -> 613, mất 52 frame"
453,15.1,id_recovered,125,moto,"raw 552 -> 615, mất 5 frame"
454,15.13,id_recovered,36,car,"raw 608 -> 619, mất 5 frame"
456,15.2,small_object,90,car,"box 33x31px, conf 0.65"
457,15.23,id_recovered,125,moto,"raw 615 -> 625, mất 3 frame"
457,15.23,id_recovered,118,car,"raw 586 -> 626, mất 14 frame"
459,15.3,id_recovered,142,car,"raw 621 -> 627, mất 1 frame"
459,15.3,id_recovered,57,car,"raw 532 -> 628, mất 39 frame"
459,15.3,occlusion,57&69,,IoU 0.50
