frame,read_ms,track_ms,yolo_pre_ms,yolo_inf_ms,yolo_post_ms,ids_ms,draw_ms,diag_ms,n_tracks,n_small,n_blur,n_occluded_pairs
252,6.93,139.849,15.879,102.397,3.568,8.471,32.02,9.948,40,6,0,0
253,6.851,143.305,14.101,107.144,3.199,8.192,31.219,10.327,41,6,0,0
254,7.277,135.295,15.642,97.728,3.322,7.72,46.055,9.974,41,5,0,0
255,6.838,152.527,17.514,114.102,2.861,7.667,32.366,9.65,39,5,0,0
256,6.992,132.509,14.925,96.545,2.739,8.099,31.115,9.326,39,7,0,0
257,7.346,147.992,14.832,113.103,2.867,7.206,30.204,10.207,40,7,0,0
258,6.971,136.128,13.944,101.002,2.851,7.129,30.084,10.005,37,5,0,0
259,6.008,158.745,14.694,123.112,3.053,7.091,31.9,10.5,37,5,0,0
260,6.442,131.326,13.934,97.117,3.116,7.056,31.212,10.352,37,4,0,0
261,7.026,139.646,13.187,104.542,3.168,7.176,31.574,10.476,38,5,0,0
262,7.33,140.243,17.55,100.11,3.749,6.999,27.343,9.404,38,5,0,0
263,9.662,131.823,10.432,110.165,1.88,2.562,17.467,3.64,38,4,0,0
264,5.281,114.808,10.536,93.232,1.846,3.379,17.377,5.168,37,4,0,0
265,3.687,110.444,8.149,90.949,2.129,2.818,18.899,3.4,37,4,0,0
266,3.527,107.624,9.164,89.757,1.595,2.611,17.921,3.537,37,4,0,0
267,3.866,110.879,10.008,92.312,1.632,2.463,16.483,3.376,36,3,0,0
268,3.666,106.862,8.515,88.744,1.719,3.223,18.995,4.236,38,4,0,0
269,3.936,109.206,8.192,91.136,1.771,3.291,19.294,4.31,39,4,0,0
270,3.738,107.126,8.772,89.762,1.556,2.731,16.867,3.532,40,5,0,0
271,3.928,113.111,8.249,93.66,2.03,3.33,20.548,4.353,37,5,0,0
272,3.707,114.585,9.053,96.806,1.633,2.796,16.676,3.45,39,7,0,0
273,4.031,116.605,10.112,95.268,2.058,3.584,17.018,3.472,37,5,0,0
274,3.942,110.72,9.267,92.597,1.586,3.382,20.678,4.133,37,5,0,0
275,3.824,147.335,8.744,115.939,3.798,7.669,29.038,8.817,36,5,0,0
276,4.944,128.666,13.79,94.906,2.894,6.553,29.177,9.087,35,5,0,0
277,5.312,134.123,12.829,100.06,2.888,7.223,28.995,10.216,36,5,0,0
278,4.862,141.605,12.988,107.645,2.822,6.91,29.967,9.708,36,6,0,0
279,5.237,147.954,13.898,112.963,2.876,7.354,28.994,10.444,37,6,0,0
280,4.928,142.261,12.969,107.504,3.409,7.519,31.193,33.226,40,5,0,1
281,5.81,144.727,14.279,102.387,3.064,9.91,31.984,13.346,37,5,0,1
282,5.143,150.653,13.57,115.486,2.861,7.489,30.562,9.343,39,6,0,1
283,6.58,154.234,15.778,116.257,3.388,8.134,29.736,10.306,39,5,0,1
284,5.912,141.569,15.322,105.105,2.825,7.354,30.317,10.423,39,4,0,0
285,5.959,135.378,14.943,99.855,2.819,7.785,29.609,11.086,41,4,0,0
286,6.186,146.447,16.849,108.488,2.594,7.288,30.421,10.894,39,4,0,0
287,5.95,152.078,16.749,114.774,3.252,6.868,28.843,9.892,37,3,0,0
288,7.259,132.225,14.376,96.662,3.187,7.305,29.764,9.762,37,3,0,0
289,5.199,134.867,14.933,98.366,3.091,7.553,30.757,10.971,39,4,0,0
290,6.617,132.66,14.277,96.105,3.525,7.48,29.65,10.167,38,4,0,1
291,6.868,143.45,15.353,104.808,5.142,7.779,29.529,13.035,39,4,0,3
292,7.118,155.478,16.905,115.45,3.926,12.644,27.876,11.546,42,4,0,4
293,6.703,139.478,15.304,101.106,5.579,7.791,30.381,13.082,40,3,0,4
294,7.067,140.547,15.398,101.38,5.083,7.966,30.663,13.452,42,4,0,3
295,7.033,136.191,16.766,97.989,2.957,8.236,30.098,10.987,43,3,0,2
296,5.677,137.287,13.283,101.42,3.761,7.69,29.278,13.908,42,3,0,2
297,5.179,141.711,12.495,106.77,2.989,8.123,30.77,13.6,43,3,0,1
298,6.78,139.977,13.883,104.175,3.308,7.649,29.589,13.176,41,3,0,1
299,6.363,137.874,17.192,99.671,2.74,7.527,27.428,12.167,39,3,0,3
300,6.68,151.062,16.076,109.998,5.417,8.129,30.551,13.244,41,3,0,2
301,7.339,151.806,15.646,114.155,3.231,8.073,31.41,9.536,41,4,0,1
302,5.222,146.955,14.332,112.029,2.84,7.702,27.656,10.466,41,4,0,1
303,6.983,136.778,15.897,99.499,3.36,7.005,27.132,10.227,37,4,0,1
304,7.021,155.428,18.997,114.354,3.564,7.051,30.687,10.161,34,4,0,0
305,6.935,156.885,16.263,117.917,3.723,7.589,28.268,10.274,35,4,0,1
306,7.254,156.648,18.095,114.336,5.161,7.819,30.382,9.529,35,4,0,1
307,6.629,148.358,15.43,111.555,3.559,7.364,27.63,9.414,36,4,0,2
308,6.731,135.785,15.651,99.883,3.034,7.529,28.72,10.167,37,4,0,2
309,7.857,137.15,13.168,102.537,3.763,7.431,26.541,9.241,36,3,0,2
310,7.103,148.078,14.79,110.978,3.799,7.516,30.119,9.963,35,3,0,1
311,6.473,137.88,15.829,100.45,3.332,7.279,26.504,9.707,38,4,0,3
312,6.518,150.427,16.391,111.408,3.221,8.357,28.734,10.43,38,4,0,2
313,6.243,160.043,14.885,113.959,3.344,7.818,29.415,34.041,38,3,0,2
314,6.692,141.645,15.368,103.089,3.729,7.574,27.856,9.93,38,3,0,2
315,7.078,150.95,15.976,112.214,3.762,7.339,27.835,12.127,38,3,0,2
316,6.951,152.146,17.125,110.832,3.999,7.828,28.048,11.49,38,3,0,2
317,7.167,161.583,14.68,122.041,5.028,8.794,27.46,11.707,39,3,0,3
318,7.341,152.561,17.045,114.348,3.142,7.844,32.983,14.035,37,2,0,2
319,7.133,146.142,15.817,109.551,3.108,7.536,27.157,11.361,36,2,0,2
320,6.768,141.192,15.064,104.401,3.126,7.312,29.01,35.871,37,2,0,1
321,6.637,141.161,14.18,105.711,3.315,8.369,28.429,11.092,39,2,0,0
